County/City,Ward,Pct,"Hillary R. Clinton","Donald J. Trump","Gary Johnson","Evan McMullin","Jill Stein","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian,Independent,Green
"Washington County",-,"702 - Wallace",110,544,13,8,1,1,677
"Washington County",-,"703 - John Battle",274,"1,201",40,16,6,7,"1,544"
"Washington County",-,"Ab - Central Absentee Precinct",848,"1,743",57,22,11,8,"2,689"
"Washington County",-,Provisional,5,11,1,0,0,0,17
"Waynesboro City",-,"1 - Ward A",634,701,44,13,16,13,"1,421"
"Waynesboro City",-,"2 - Ward B",969,"1,225",104,35,23,24,"2,380"
"Waynesboro City",-,"3 - Ward C",740,962,65,36,20,12,"1,835"
"Waynesboro City",-,"4 - Ward D","1,088","1,569",97,58,14,28,"2,854"
"Waynesboro City",-,"Ab - Central Absentee Precinct",331,341,25,3,1,7,708
"Waynesboro City",-,Provisional,2,3,1,0,0,0,6
"Westmoreland County",-,"101 - Precinct 1-1",638,269,17,3,2,1,930
"Westmoreland County",-,"102 - Precinct 1-2",319,231,7,4,1,0,562
"Westmoreland County",-,"201 - Precinct 2-1",521,462,17,4,4,5,"1,013"
"Westmoreland County",-,"202 - Precinct 2-2",199,349,8,4,3,1,564
"Westmoreland County",-,"301 - Precinct 3-1",361,426,14,6,1,0,808
"Westmoreland County",-,"302 - Precinct 3-2",272,316,7,5,2,4,606
"Westmoreland County",-,"401 - Precinct 4-1",411,"1,034",34,10,11,7,"1,507"
"Westmoreland County",-,"501 - Precinct 5-1",541,836,34,10,10,12,"1,443"
"Westmoreland County",-,"Ab - Central Absentee Precinct",564,514,17,4,6,13,"1,118"
"Westmoreland County",-,Provisional,10,11,2,0,0,0,23
"Williamsburg City",-,"1 - Stryker","2,193",880,102,43,40,34,"3,292"
"Williamsburg City",-,"2 - Matoaka","2,411",723,108,48,35,36,"3,361"
"Williamsburg City",-,"Ab - Central Absentee Precinct",595,318,20,9,9,10,961
"Williamsburg City",-,Provisional,7,4,1,0,0,0,12
"Winchester City",-,"101 - Merrimans",896,884,73,15,11,20,"1,899"
"Winchester City",-,"102 - Old Town",642,711,62,23,21,14,"1,473"
"Winchester City",-,"201 - Virginia Avenue",985,637,70,24,28,8,"1,752"
"Winchester City",-,"301 - War Memorial",838,773,86,15,18,15,"1,745"
"Winchester City",-,"401 - Frederick Douglass",379,430,26,11,6,7,859
"Winchester City",-,"402 - Rolling Hills",714,861,40,29,7,13,"1,664"
"Winchester City",-,"Ab - Central Absentee Precinct",707,491,43,11,8,9,"1,269"
"Winchester City",-,Provisional,3,3,0,0,0,0,6
"Wise County",-,"101 - Appalachia",188,680,12,5,8,3,896
"Wise County",-,"102 - Dorchester",102,486,5,2,1,4,600
"Wise County",-,"103 - Guest River Voting Place",92,474,2,2,1,1,572
"Wise County",-,"104 - West Pound",250,"1,280",16,6,10,4,"1,566"
"Wise County",-,"201 - North Coeburn",119,634,6,4,4,2,769
"Wise County",-,"202 - Wise",426,"1,637",39,5,14,4,"2,125"
"Wise County",-,"203 - East Pound",50,349,3,1,6,5,414
"Wise County",-,"301 - Big Stone Gap",362,"1,282",25,5,9,8,"1,691"
